#lambda/nm	DC	C1
316.64	584	581.8
317.033	589.6	585.2
317.405	587.6	595.6
317.798	588.4	582
318.192	584.6	582.6
318.585	579	583
318.979	583.6	593
319.372	578.8	590.2
319.766	579.8	578
320.16	588.4	592.8
320.553	596.2	601.4
320.947	600	599.6
321.341	583.4	574.4
321.735	579.6	581
322.129	570	576.4
322.523	605.4	607
322.917	575	578.2
323.311	595.4	587.8
323.705	582.2	589.4
324.099	582.8	586.6
324.494	588.4	593.6
324.888	584.8	591.6
325.282	585.4	583.4
325.677	592	594.2
326.071	583.6	590
326.466	597.6	590
326.861	580.2	587.2
327.255	590	593.4
327.65	594.6	600.8
328.045	596.2	600.4
328.44	580.8	583.8
328.835	584.2	585
329.23	576.2	575
329.625	602.8	606.4
330.02	579	575.6
330.415	601.8	603.4
330.81	584.2	589.8
331.206	585.6	582
331.601	576.2	576
331.996	593.6	596
332.37	598.8	606.6
332.766	575.2	582.6
333.161	602	604.8
333.557	579.2	577.4
333.953	586.8	577.4
334.348	879.4	873
334.744	584	587.8
335.14	582.2	576.4
335.536	585.2	574.6
335.932	591.2	590.2
336.328	583	575.8
336.724	584.6	587.6
337.12	586.4	581.4
337.516	584.6	580
337.913	586.8	575.6
338.309	599	591.8
338.705	577.4	581.2
339.102	592.2	586.4
339.498	580.8	582.2
339.895	596	599
340.291	582.4	573.2
340.688	587	587.2
341.085	574.6	575.6
341.481	577	577.6
341.878	575.6	581
342.275	594.2	601.6
342.672	576	576.4
343.069	577.6	575.4
343.466	569.6	566.8
343.842	587	581.6
344.239	580	578
344.636	581.6	576.2
345.033	577.6	574.8
345.431	571.8	569.8
345.828	581.8	589
346.225	577.8	579.6
346.623	593.4	595.4
347.02	581.8	577
347.418	593.4	592.2
347.816	587.6	601.6
348.213	574.8	570.4
348.611	582	583
349.009	578.4	584
349.407	596	588.6
349.805	570.4	560.6
350.203	561.8	574
350.601	592.2	592.2
350.999	577.8	575.8
351.397	618	619.4
351.795	581	580.6
352.193	594.4	593
352.57	594	592.4
352.969	593	589
353.367	575.2	574.8
353.766	580	574.2
354.164	577.6	580.6
354.563	589.6	593.6
354.961	581.4	587
355.36	578.2	572.4
355.759	579.8	573
356.158	567.8	574.4
356.557	571.4	565.4
356.956	578.2	575.4
357.355	564	568
357.754	580	577.8
358.153	578.8	579.6
358.552	599.4	601
358.951	578	573.4
359.35	593.8	593.4
359.75	577	578.2
360.149	569.2	567.4
360.527	565.8	569.6
360.926	572.4	569.6
361.326	590.2	584.2
361.726	581.4	585.6
362.125	577.6	579.4
362.525	585.4	580.8
362.925	577	569.8
363.325	580.4	571.2
363.724	573.2	571.8
364.124	580	567.8
364.524	577	573.6
364.924	575.6	575.2
365.324	581.2	584.6
365.725	571	562.4
366.125	575.6	583.2
366.525	575.6	578.4
366.904	564.4	576
367.304	564.2	564
367.705	585.4	591.2
368.105	574.4	584.6
368.506	573.2	587.2
368.906	577.4	572
369.307	572	585.4
369.708	580.2	576
370.108	572.8	568.8
370.509	584	580
370.91	571	568.4
371.311	571.2	575.4
371.712	583.6	580.2
372.113	579.4	573.4
372.514	560.8	567.8
372.894	570.8	573
373.295	569.2	574.2
373.696	586.8	580.8
374.097	583.4	589.2
374.499	603.8	605.2
374.9	584.6	583.2
375.301	566.6	572.8
375.703	573.2	577.6
376.105	571	573.6
376.506	581	579.8
376.908	572	579
377.309	579.2	577.6
377.711	580.2	578.6
378.113	582.4	575.6
378.493	580.2	581.4
378.895	574.4	570.2
379.297	581.2	590.2
379.699	566.8	563.6
380.102	579	580.6
380.504	580.8	572.6
380.906	568	583.2
381.308	597.4	592.4
381.71	572.2	577.6
382.113	583.6	589.2
382.515	574.2	585
382.918	579.4	582
383.299	577	578.2
383.701	586.2	581.8
384.104	575.2	574
384.507	560	559.6
384.909	571.2	570.6
385.312	563.6	569.6
385.715	567	575.6
386.118	569.2	569.6
386.521	565.6	569.2
386.924	590.2	579.4
387.327	569.8	570.6
387.709	560.6	576.2
388.112	567.6	560
388.515	574.2	577.6
388.918	583.2	582.8
389.322	581.2	578
389.725	574.8	576.2
390.129	595.4	595
390.532	580	583
390.936	570	571.6
391.339	568.4	573.6
391.743	580	579.2
392.125	570.8	569.6
392.529	586.6	586.4
392.933	588	583.6
393.337	578.2	582.6
393.74	574.6	574.2
394.144	580	578.8
394.548	571.4	573.8
394.953	572.8	574
395.357	583.4	582.6
395.761	573.6	579.6
396.144	570.8	575
396.548	574.6	577.6
396.952	579	572
397.357	574.2	579.4
397.761	574.6	577
398.166	578.4	573.2
398.57	583.8	560.4
398.975	559.8	560.4
399.379	572.4	574
399.763	617.4	621.6
400.168	570.4	574.6
400.572	580.2	579
400.977	567.8	567.8
401.382	592	595.6
401.787	585.8	583.6
402.192	590.4	591.4
402.597	590.6	585.8
403.002	563.6	562.6
403.386	579.6	586.2
403.791	588.8	586
404.197	572	571.6
404.602	581	579.6
405.007	576.4	577.6
405.413	576.8	572.4
405.818	573.4	573.2
406.224	570	568.4
406.608	573	582.4
407.014	566	566.6
407.42	582.6	578.8
407.825	570.8	564
408.231	587.4	579
408.637	579.4	575.2
409.043	587.4	582.8
409.449	571.2	565.8
409.834	572.6	573.6
410.24	575	573.2
410.646	580.2	579
411.052	583.8	585.2
411.458	577.8	576.6
411.865	584.8	583
412.271	580.4	587.4
412.677	576.2	578.8
413.062	586.8	578
413.469	562.4	571.2
413.875	604.6	590.4
414.282	578	585.4
414.689	577.4	579.2
415.095	578	577
415.502	568.2	566.2
415.888	579.4	575.2
416.294	569.4	568.2
416.701	616.4	607.8
417.108	574.8	570.2
417.515	584.6	581.8
417.923	576.2	572.6
418.33	592.2	587.8
418.715	581.6	585
419.123	572.6	577.2
419.53	573.2	570.2
419.937	574.6	576.6
420.345	583.6	586.8
420.752	571.6	571.6
421.16	583.4	584.8
421.546	580.2	580.4
421.953	576.8	588
422.361	568.4	573.2
422.769	580	573.2
423.177	575.4	578.8
423.585	596.8	605
423.992	599.6	587.4
424.379	593	591
424.787	583.2	588.4
425.195	597.6	589.6
425.603	577.2	572
426.011	587.4	592.8
426.419	594.6	590.6
426.806	576.8	582.8
427.214	579.8	587.8
427.623	584.4	591.4
428.031	598.6	598
428.44	584.4	588.2
428.848	585.6	599
429.235	595.6	606.2
429.644	587.2	592.4
430.053	580	602.2
430.461	594.2	614.6
430.87	601.4	620.4
431.279	592.8	613
431.666	580.2	601.2
432.075	577.6	622
432.484	588.2	616.8
432.893	575.8	618.4
433.302	599.8	647.2
433.711	615.8	675.2
434.099	588.8	649.6
434.508	579.6	653
434.918	574	654.2
435.327	599	671.4
435.737	590	679
436.125	585	684.8
436.534	592.6	701
436.944	585.4	705.6
437.353	586.2	713.2
437.763	599.2	730.4
438.173	579.8	714.6
438.561	592.2	726.2
438.971	574.2	719.8
439.381	586	726.4
439.791	587.8	754.8
440.201	575.8	750.6
440.589	590.2	763.4
440.999	594.8	768.6
441.409	595	771
441.819	574.2	765.4
442.23	604.4	795
442.619	592.8	800.6
443.029	594.6	808.2
443.439	595.6	810.6
443.85	599.8	815.8
444.26	604.4	822.6
444.649	606	827.8
445.06	605.2	827.4
445.471	603.4	825.2
445.881	604.4	831.6
446.292	614	856.4
446.682	618.2	870
447.092	598.6	839
447.503	640.6	890.8
447.914	603.8	856.2
448.325	613.6	855
448.715	608.2	865.4
449.126	609.2	854.8
449.537	610.6	849.8
449.948	618.2	852
450.338	624.2	860
450.75	624.2	871
451.161	616.2	863.4
451.572	626.8	877.6
451.984	610.2	861
452.374	603.4	858.8
452.786	616.6	869.6
453.197	621	876.6
453.609	632.6	883.8
453.999	616.4	860
454.411	618.2	860.4
454.823	631.4	886
455.235	624.8	875.4
455.647	614.2	877.8
456.037	615.4	884.8
456.449	602.2	868.8
